id,tipo,cx_rel,cy_rel,ancho_aprox_m,notas
GT-N1-VE11,ventana,0.2405,0.665,,"Ventana muro Terraza izquierdo, segundo tramo"
GT-N1-PU17,puerta,0.1417,0.2989,,Puerta en el muro a la izquierda de las puertas 9 y 10
GT-N1-MU01,muro,0.6745,0.069,,"Muro superior, sobre Baño Personal"
GT-N1-MU02,muro,0.8025,0.0695,,"Muro superior, sobre Cocina"
GT-N1-MU03,muro,0.2194,0.0714,,"Muro superior, sobre Baño Personal Mujeres/Bodega"
GT-N1-MU04,muro,0.943,0.2004,,"Muro derecho, junto a Cocina"
GT-N1-MU05,muro,0.3298,0.332,,Muro entre Terraza y Cocina
GT-N1-MU06,muro,0.6156,0.398,,Muro entre Cocina y Baño Universal
GT-N1-MU07,muro,0.8771,0.4135,,Muro de Bodega derecha / deslinde
GT-N1-MU08,muro,0.241,0.3166,,"Muro junto a la puerta 10, entre Bodega y Terraza"
GT-N1-MU09,muro,0.5757,0.4779,,Muro entre Pasillo y Baño Universal
GT-N1-MU10,muro,0.7996,0.5415,,"Muro derecho, junto a la escalera"
GT-N1-MU11,muro,0.2433,0.7122,,"Muro de Terraza izquierdo, tramo inferior"
GT-N1-MU12,muro,0.6906,0.5737,,Muro junto a la escalera
GT-N1-MU13,muro,0.3682,0.5746,,Muro entre Oficina y Pasillo
GT-N1-MU14,muro,0.2377,0.5927,,Muro entre Terraza y Cocina (Barra)
GT-N1-MU15,muro,0.5864,0.6247,,Muro interior de Oficina
GT-N1-MU16,muro,0.3304,0.4661,,Muro junto a la puerta 15 (tramo 1)
GT-N1-MU17,muro,0.2451,0.4666,,Muro junto a la puerta 15 (tramo 2)
GT-N1-MU18,muro,0.5792,0.7129,,"Muro en L a la izquierda de la ventana 27, tramo vertical junto a Cocina (Barra)"
GT-N1-MU19,muro,0.6978,0.4195,,"Muro horizontal en Baño Universal, cota 2.9"
GT-N1-MU20,muro,0.8001,0.4407,,"Muro vertical en Baño Universal, cota 1.55"
GT-N1-MU21,muro,0.6208,0.454,,"Muro vertical en Baño Universal, extremo izquierdo junto al lavamanos"

NOTA: ground truth DEFINITIVO v13 (2026-07-23), reemplaza a _v3 y a _v12 (v13 tiene las mismas coordenadas que v12, con notas limpias/finales en vez de comentarios de correccion). Construido a mano por el usuario en "archicheck/Fase 2/Desarrollos/Test/marcas_planos_v13.xlsx" (hojas "Nivel 1 - PU-VE-ES-RA" y "Nivel 1 - MU"), verificado visualmente contra "plano_nivel1_marcado_v12.png" (mismo PNG, coordenadas identicas a v13). Incluye por primera vez categoria MU (muro, puntos de referencia sobre el eje/tramo del muro, no un contorno completo) -- habilita evaluar U-Net+MLSTRUCT-FP (Pizarro), que solo detecta muros. NO incluye todavia la categoria PE (Perimetro) acordada -- pendiente confirmar con el usuario si se agrega en una proxima vuelta. Objetivo explicito del usuario: este ground truth es para afinar al maximo la extraccion geometrica automatica (CubiCasa5K, DINO, U-Net+Pizarro, futuro detector determinista), no solo para documentar.
